VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
   1697       0 KAW2TR3-0XSWS-142Fail                  D NORMAL/ALARMADO                        8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Ld.69kV~Seccionadoras-Falha-SC142"
   1698       0 KAW2TR3-0XSWS-144Fail                  D NORMAL/ALARMADO                        8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Ld.69kV~Seccionadoras-Falha-SC144"
   1699       0 KAW2TR3-0XSWS-146Fail                  D NORMAL/ALARMADO                        8   91    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Ld.69kV~Seccionadoras-Falha-SC146"
   1700       0 KAW2TR3-0CILO-142                      D INTERTRAVADO/LIBERADO                 46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~Intertravmto.-SC142"
   1794       0 KAW2TR3-0CILO-144                      D INTERTRAVADO/LIBERADO                 46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~Intertravmto.-SC144"
   1795       0 KAW2TR3-0CILO-146                      D INTERTRAVADO/LIBERADO                 46  194    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3 Ld.69kV~Intertravmto.-SC146"
   1796       0 KAW2TR3-0RCTF-142Locl                  D REMOTO/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~(43)-Remoto/Local-SC142"
   1797       0 KAW2TR3-0RCTF-144Locl                  D REMOTO/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~(43)-Remoto/Local-SC144"
   1798       0 KAW2TR3-0RCTF-146Locl                  D REMOTO/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~(43)-Remoto/Local-SC146"
   1799       0 KAW2TR3-0RTFP----Nrml                  D DESATIVADO/NORMAL                    128   54    2    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3 Ld.69kV~Transfer.prot.-Normal"
   1800       0 KAW2TR3-0RTFP----Intm                  D DESATIVADO/INTERMEDIÁRIO             126   54   11    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~Transfer.prot.-Intermed."
   1995       0 KAW2TR3-0RTFP----Trfd                  D DESATIVADO/TRANSFERIDO               130   54   12    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3 Ld.69kV~Transfer.prot.-Tranfer"
   1996       0 KAW2TR3-0RTFP----Icpl                  D NORMAL/ALARMADO                        8   54  162    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3 Ld.69kV~Transfer.prot.-Incompleta"
   1997       0 KAW2TR3-0ZMMD----CmFl                  D NORMAL/SEM_COMUNICAÇÃO                32  216   42    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KAW2~TR3 Ld.69kV~Multimed.ME-FalhComun"
   1998       0 KAW2TR3--RBLK                          D NORMAL/OPERADO                        23  181    0    0   E    0     0       1.0000       0.0000       0   1   0       1.0000 "KAW2~TR3~Relé bloq.(86)"
   1999       0 KAW2TR3--ZTCO----Incl                  D EXCLUÍDO/INCLUÍDO                     36   50    9    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3~Telecontrole do módulo-Inclusão"
   2000       0 KAW2TR3--YFAN--01MDsj                  D NORMAL/ALARMADO                        8   41  255    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~VF-Minidisjuntor-Índ.1"
   2125       0 KAW2TR3--YFAN--02MDsj                  D NORMAL/ALARMADO                        8   41  255    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~VF-Minidisjuntor-Índ.2"
   2126       0 KAW2TR3--YFAN----Locl                  D REMOTO/LOCAL                          38   41   17    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3~VF-Remoto/Local"
   2127       0 KAW2TR3--YFAN----Manl                  D AUTOMÁTICO/MANUAL                     41   41    4    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3~VF-Autom/Manual"
   2128       0 KAW2TR3--YFA1                          D DESLIGADO/LIGADO                      10   23    0    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3~VF1"
   2129       0 KAW2TR3--YFA2                          D DESLIGADO/LIGADO                      10   24    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3~VF2"
   2193       0 KAW2TR3--YFA1----Fail                  D NORMAL/ALARMADO                        8   23    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~VF1-Falha"
   2194       0 KAW2TR3--YFA2----Fail                  D NORMAL/ALARMADO                        8   24    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~VF2-Falha"
   2195       0 KAW2TR3--ATCC                          D EXCLUÍDO/INCLUÍDO                     36   71    0    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~TR3~Relé Contr.Tap (90)"
   2196       0 KAW2TR3--ATCC----InFl                  D SEM_DEFEITO/COM_DEFEITO               42   71  109    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KAW2~TR3~Relé Contr.Tap (90)-Falha interna"
   2197       0 KAW2TR3--ATCC----Tout                  D NORMAL/ALARMADO                        8   71  113    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Relé Contr.Tap (90)-Timeout"
   2198       0 KAW2TR3--YPAR----Fail                  D NORMAL/ALARMADO                        8   55    7    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Paralelismo TR-Falha"
   2199       0 KAW2TR3--ATCC----Stop                  D NORMAL/OPERADO                        23   71   75    0   E    0     0       1.0000       0.0000       0   1   0       1.0000 "KAW2~TR3~Relé Contr.Tap (90)-Parada Emerg."
   2298       0 KAW2TR3--YCDC----Icpl                  D NORMAL/ALARMADO                        8   60  162    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~CDC do TR-Incompleta"
   2299       0 KAW2TR3--YCDC----Locl                  D REMOTO/LOCAL                          38   60   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~TR3~CDC do TR-Remoto/Local"
   2301       0 KAW2TR3--YCCM----Blck                  D DESBLOQUEADO/BLOQUEADO                34   59   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KAW2~TR3~Comando CDC-Bloqueio"
   2302       0 KAW2TR3--YLEV----Min                   D NORMAL/ALARMADO                        8   64   55    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Nível óleo(71T)-Mínimo"
   2303       0 KAW2TR3--YLEV----Max                   D NORMAL/ALARMADO                        8   64   54    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Nível óleo(71T)-Máximo"
   2304       0 KAW2TR3--YCLV----Min                   D NORMAL/ALARMADO                        8   68   55    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Nível óleo CDC(71C)-Mínimo"
   2305       0 KAW2TR3--YCLV----Max                   D NORMAL/ALARMADO                        8   68   54    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Nível óleo CDC(71C)-Máximo"
   2306       0 KAW2TR3--YCBH-O                        D NORMAL/OPERADO                        23   69    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Buchholz CDC(63C)-Oper"
   2307       0 KAW2TR3--YPBH----Alrm                  D NORMAL/ALARMADO                        8   25    1    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Buchholz TR(63T)-Alarme"
   2308       0 KAW2TR3--YPBH-O                        D NORMAL/OPERADO                        23   25    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Buchholz TR(63T)-Oper"
   2309       0 KAW2TR3--PTTI----Alrm                  D NORMAL/ALARMADO                        8  203    1    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~TR3~Pr.térmica do óleo(26)-Alarme"
   2504       0 KAW2AL-21XCCM5238LoDC                  D NORMAL/ALARMADO                        8   75   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~Comando DJ-FtaCC-DJ52-38"
   2505       0 KAW2AL-21XCMD5238                      D NORMAL/ALARMADO                        8   74    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~Mola descarr.-DJ52-38"
   2506       0 KAW2AL-21RCTF5238Locl                  D REMOTO/LOCAL                          38  141   17    0   E    0     0       1.0000       0.0000       0   2   2       1.0000 "KAW2~AL21 13,8kV~(43)-Remoto/Local-DJ52-38"
   2507       0 KAW2AL-21XCBO5238Sprv                  D NORMAL/ALARMADO                        8   66   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~Bob.abert.-Superv-DJ52-38"
   2508       0 KAW2AL-21XCBC5238Sprv                  D NORMAL/ALARMADO                        8  193   31    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~BobFech-Superv-DJ52-38"
   2509       0 KAW2AL-21TVDJ                          D NORMAL/ALARMADO                        8  236    0    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~Minidisjuntor do TP"
   2510       0 KAW2AL-21XCCX----LoDC                  D NORMAL/ALARMADO                        8  271   14    0   E    0     0       1.0000       0.0000       0   1   1       1.0000 "KAW2~AL21 13,8kV~Circ.Abert/Fecham-FtaCC"
   2511       0 KAW2AL-21PSTI--N-Blck                  D DESBLOQUEADO/BLOQUEADO                34   82   34    0   E    0     0       1.0000       0.0000       0   1   2       1.0000 "KAW2~AL21 13,8kV~(50/51)-Bloqueio-N"
   2512       0 KAW2AL-21RREC----Incl                  D EXCLUÍDO/INCLUÍDO                     36   26    9    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~AL21 13,8kV~Religador(79)-Inclusão"
   2513       0 KAW2AL-21ZTCO----Incl                  D EXCLUÍDO/INCLUÍDO                     36   50    9    0   E    0     0       1.0000       0.0000       0   2   2       0.0000 "KAW2~AL21 13,8kV~Telecontr-Inclusão"
   2514       0 KAW2AL-21RPRT----Fail                  D SEM_DEFEITO/COM_DEFEITO               42  144    7    0   E    0     0       1.0000       0.0000       0   1   3       1.0000 "KAW2~AL21 13,8kV~Proteção-Falha"
